Survived,PassengerId,Pclass,Sex,Age
0,1,3,male,22
1,2,1,female,38
1,3,3,female,26
1,4,1,female,35
0,5,3,male,35
0,6,3,male,
0,7,1,male,54
0,8,3,male,2
1,9,3,female,27
1,10,2,female,14
1,11,3,female,4
1,12,1,female,58
0,13,3,male,20
0,14,3,male,39
0,15,3,female,14
1,16,2,female,55
0,17,3,male,2
1,18,2,male,
0,19,3,female,31
1,20,3,female,
0,21,2,male,35
1,22,2,male,34
1,23,3,female,15
1,24,1,male,28
0,25,3,female,8
1,26,3,female,38
0,27,3,male,
0,28,1,male,19
1,29,3,female,
0,30,3,male,
0,31,1,male,40
1,32,1,female,
1,33,3,female,
0,34,2,male,66
0,35,1,male,28
0,36,1,male,42
1,37,3,male,
0,38,3,male,21
0,39,3,female,18
1,40,3,female,14
0,41,3,female,40
0,42,2,female,27
0,43,3,male,
1,44,2,female,3
1,45,3,female,19
0,46,3,male,
0,47,3,male,
1,48,3,female,
0,49,3,male,
0,50,3,female,18
0,51,3,male,7
0,52,3,male,21
1,53,1,female,49
1,54,2,female,29
0,55,1,male,65
1,56,1,male,
1,57,2,female,21
0,58,3,male,28.5
1,59,2,female,5
0,60,3,male,11
0,61,3,male,22
1,62,1,female,38
0,63,1,male,45
0,64,3,male,4
0,65,1,male,
1,66,3,male,
1,67,2,female,29
0,68,3,male,19
1,69,3,female,17
0,70,3,male,26
0,71,2,male,32
0,72,3,female,16
0,73,2,male,21
0,74,3,male,26
1,75,3,male,32
0,76,3,male,25
0,77,3,male,
0,78,3,male,
1,79,2,male,0.83
1,80,3,female,30
0,81,3,male,22
1,82,3,male,29
1,83,3,female,
0,84,1,male,28
1,85,2,female,17
1,86,3,female,33
0,87,3,male,16
0,88,3,male,
1,89,1,female,23
0,90,3,male,24
0,91,3,male,29
0,92,3,male,20
0,93,1,male,46
0,94,3,male,26
0,95,3,male,59
0,96,3,male,
0,97,1,male,71
1,98,1,male,23
1,99,2,female,34
0,100,2,male,34
0,101,3,female,28
0,102,3,male,
0,103,1,male,21
0,104,3,male,33
0,105,3,male,37
0,106,3,male,28
1,107,3,female,21
1,108,3,male,
0,109,3,male,38
1,110,3,female,
0,111,1,male,47
0,112,3,female,14.5
0,113,3,male,22
0,114,3,female,20
0,115,3,female,17
0,116,3,male,21
0,117,3,male,70.5
0,118,2,male,29
0,119,1,male,24
0,120,3,female,2
0,121,2,male,21
0,122,3,male,
0,123,2,male,32.5
1,124,2,female,32.5
0,125,1,male,54
1,126,3,male,12
0,127,3,male,
1,128,3,male,24
1,129,3,female,
0,130,3,male,45
0,131,3,male,33
0,132,3,male,20
0,133,3,female,47
1,134,2,female,29
0,135,2,male,25
0,136,2,male,23
1,137,1,female,19
0,138,1,male,37
0,139,3,male,16
0,140,1,male,24
0,141,3,female,
1,142,3,female,22
1,143,3,female,24
0,144,3,male,19
0,145,2,male,18
0,146,2,male,19
1,147,3,male,27
0,148,3,female,9
0,149,2,male,36.5
0,150,2,male,42
0,151,2,male,51
1,152,1,female,22
0,153,3,male,55.5
0,154,3,male,40.5
0,155,3,male,
0,156,1,male,51
1,157,3,female,16
0,158,3,male,30
0,159,3,male,
0,160,3,male,
0,161,3,male,44
1,162,2,female,40
0,163,3,male,26
0,164,3,male,17
0,165,3,male,1
1,166,3,male,9
1,167,1,female,
0,168,3,female,45
0,169,1,male,
0,170,3,male,28
0,171,1,male,61
0,172,3,male,4
1,173,3,female,1
0,174,3,male,21
0,175,1,male,56
0,176,3,male,18
0,177,3,male,
0,178,1,female,50
0,179,2,male,30
0,180,3,male,36
0,181,3,female,
0,182,2,male,
0,183,3,male,9
1,184,2,male,1
1,185,3,female,4
0,186,1,male,
1,187,3,female,
1,188,1,male,45
0,189,3,male,40
0,190,3,male,36
1,191,2,female,32
0,192,2,male,19
1,193,3,female,19
1,194,2,male,3
1,195,1,female,44
1,196,1,female,58
0,197,3,male,
0,198,3,male,42
1,199,3,female,
0,200,2,female,24
0,201,3,male,28
0,202,3,male,
0,203,3,male,34
0,204,3,male,45.5
1,205,3,male,18
0,206,3,female,2
0,207,3,male,32
1,208,3,male,26
1,209,3,female,16
1,210,1,male,40
0,211,3,male,24
1,212,2,female,35
0,213,3,male,22
0,214,2,male,30
0,215,3,male,
1,216,1,female,31
1,217,3,female,27
0,218,2,male,42
1,219,1,female,32
0,220,2,male,30
1,221,3,male,16
0,222,2,male,27
0,223,3,male,51
0,224,3,male,
1,225,1,male,38
0,226,3,male,22
1,227,2,male,19
0,228,3,male,20.5
0,229,2,male,18
0,230,3,female,
1,231,1,female,35
0,232,3,male,29
0,233,2,male,59
1,234,3,female,5
0,235,2,male,24
0,236,3,female,
0,237,2,male,44
1,238,2,female,8
0,239,2,male,19
0,240,2,male,33
0,241,3,female,
1,242,3,female,
0,243,2,male,29
0,244,3,male,22
0,245,3,male,30
0,246,1,male,44
0,247,3,female,25
1,248,2,female,24
1,249,1,male,37
0,250,2,male,54
0,251,3,male,
0,252,3,female,29
0,253,1,male,62
0,254,3,male,30
0,255,3,female,41
1,256,3,female,29
1,257,1,female,
1,258,1,female,30
1,259,1,female,35
1,260,2,female,50
0,261,3,male,
1,262,3,male,3
0,263,1,male,52
0,264,1,male,40
0,265,3,female,
0,266,2,male,36
0,267,3,male,16
1,268,3,male,25
1,269,1,female,58
1,270,1,female,35
0,271,1,male,
1,272,3,male,25
1,273,2,female,41
0,274,1,male,37
1,275,3,female,
1,276,1,female,63
0,277,3,female,45
0,278,2,male,
0,279,3,male,7
1,280,3,female,35
0,281,3,male,65
0,282,3,male,28
0,283,3,male,16
1,284,3,male,19
0,285,1,male,
0,286,3,male,33
1,287,3,male,30
0,288,3,male,22
1,289,2,male,42
1,290,3,female,22
1,291,1,female,26
1,292,1,female,19
0,293,2,male,36
0,294,3,female,24
0,295,3,male,24
0,296,1,male,
0,297,3,male,23.5
0,298,1,female,2
1,299,1,male,
1,300,1,female,50
1,301,3,female,
1,302,3,male,
0,303,3,male,19
1,304,2,female,
0,305,3,male,
1,306,1,male,0.92
1,307,1,female,
1,308,1,female,17
0,309,2,male,30
1,310,1,female,30
1,311,1,female,24
1,312,1,female,18
0,313,2,female,26
0,314,3,male,28
0,315,2,male,43
1,316,3,female,26
1,317,2,female,24
0,318,2,male,54
1,319,1,female,31
1,320,1,female,40
0,321,3,male,22
0,322,3,male,27
1,323,2,female,30
1,324,2,female,22
0,325,3,male,
1,326,1,female,36
0,327,3,male,61
1,328,2,female,36
1,329,3,female,31
1,330,1,female,16
1,331,3,female,
0,332,1,male,45.5
0,333,1,male,38
0,334,3,male,16
1,335,1,female,
0,336,3,male,
0,337,1,male,29
1,338,1,female,41
1,339,3,male,45
0,340,1,male,45
1,341,2,male,2
1,342,1,female,24
0,343,2,male,28
0,344,2,male,25
0,345,2,male,36
1,346,2,female,24
1,347,2,female,40
1,348,3,female,
1,349,3,male,3
0,350,3,male,42
0,351,3,male,23
0,352,1,male,
0,353,3,male,15
0,354,3,male,25
0,355,3,male,
0,356,3,male,28
1,357,1,female,22
0,358,2,female,38
1,359,3,female,
1,360,3,female,
0,361,3,male,40
0,362,2,male,29
0,363,3,female,45
0,364,3,male,35
0,365,3,male,
0,366,3,male,30
1,367,1,female,60
1,368,3,female,
1,369,3,female,
1,370,1,female,24
1,371,1,male,25
0,372,3,male,18
0,373,3,male,19
0,374,1,male,22
0,375,3,female,3
1,376,1,female,
1,377,3,female,22
0,378,1,male,27
0,379,3,male,20
0,380,3,male,19
1,381,1,female,42
1,382,3,female,1
0,383,3,male,32
1,384,1,female,35
0,385,3,male,
0,386,2,male,18
0,387,3,male,1
1,388,2,female,36
0,389,3,male,
1,390,2,female,17
1,391,1,male,36
1,392,3,male,21
0,393,3,male,28
1,394,1,female,23
1,395,3,female,24
0,396,3,male,22
0,397,3,female,31
0,398,2,male,46
0,399,2,male,23
1,400,2,female,28
1,401,3,male,39
0,402,3,male,26
0,403,3,female,21
0,404,3,male,28
0,405,3,female,20
0,406,2,male,34
0,407,3,male,51
1,408,2,male,3
0,409,3,male,21
0,410,3,female,
0,411,3,male,
0,412,3,male,
1,413,1,female,33
0,414,2,male,
1,415,3,male,44
0,416,3,female,
1,417,2,female,34
1,418,2,female,18
0,419,2,male,30
0,420,3,female,10
0,421,3,male,
0,422,3,male,21
0,423,3,male,29
0,424,3,female,28
0,425,3,male,18
0,426,3,male,
1,427,2,female,28
1,428,2,female,19
0,429,3,male,
1,430,3,male,32
1,431,1,male,28
1,432,3,female,
1,433,2,female,42
0,434,3,male,17
0,435,1,male,50
1,436,1,female,14
0,437,3,female,21
1,438,2,female,24
0,439,1,male,64
0,440,2,male,31
1,441,2,female,45
0,442,3,male,20
0,443,3,male,25
1,444,2,female,28
1,445,3,male,
1,446,1,male,4
1,447,2,female,13
1,448,1,male,34
1,449,3,female,5
1,450,1,male,52
0,451,2,male,36
0,452,3,male,
0,453,1,male,30
1,454,1,male,49
0,455,3,male,
1,456,3,male,29
0,457,1,male,65
1,458,1,female,
1,459,2,female,50
0,460,3,male,
1,461,1,male,48
0,462,3,male,34
0,463,1,male,47
0,464,2,male,48
0,465,3,male,
0,466,3,male,38
0,467,2,male,
0,468,1,male,56
0,469,3,male,
1,470,3,female,0.75
0,471,3,male,
0,472,3,male,38
1,473,2,female,33
1,474,2,female,23
0,475,3,female,22
0,476,1,male,
0,477,2,male,34
0,478,3,male,29
0,479,3,male,22
1,480,3,female,2
0,481,3,male,9
0,482,2,male,
0,483,3,male,50
1,484,3,female,63
1,485,1,male,25
0,486,3,female,
1,487,1,female,35
0,488,1,male,58
0,489,3,male,30
1,490,3,male,9
0,491,3,male,
0,492,3,male,21
0,493,1,male,55
0,494,1,male,71
0,495,3,male,21
0,496,3,male,
1,497,1,female,54
0,498,3,male,
0,499,1,female,25
0,500,3,male,24
0,501,3,male,17
0,502,3,female,21
0,503,3,female,
0,504,3,female,37
1,505,1,female,16
0,506,1,male,18
1,507,2,female,33
1,508,1,male,
0,509,3,male,28
1,510,3,male,26
1,511,3,male,29
0,512,3,male,
1,513,1,male,36
1,514,1,female,54
0,515,3,male,24
0,516,1,male,47
1,517,2,female,34
0,518,3,male,
1,519,2,female,36
0,520,3,male,32
1,521,1,female,30
0,522,3,male,22
0,523,3,male,
1,524,1,female,44
0,525,3,male,
0,526,3,male,40.5
1,527,2,female,50
0,528,1,male,
0,529,3,male,39
0,530,2,male,23
1,531,2,female,2
0,532,3,male,
0,533,3,male,17
1,534,3,female,
0,535,3,female,30
1,536,2,female,7
0,537,1,male,45
1,538,1,female,30
0,539,3,male,
1,540,1,female,22
1,541,1,female,36
0,542,3,female,9
0,543,3,female,11
1,544,2,male,32
0,545,1,male,50
0,546,1,male,64
1,547,2,female,19
1,548,2,male,
0,549,3,male,33
1,550,2,male,8
1,551,1,male,17
0,552,2,male,27
0,553,3,male,
1,554,3,male,22
1,555,3,female,22
0,556,1,male,62
1,557,1,female,48
0,558,1,male,
1,559,1,female,39
1,560,3,female,36
0,561,3,male,
0,562,3,male,40
0,563,2,male,28
0,564,3,male,
0,565,3,female,
0,566,3,male,24
0,567,3,male,19
0,568,3,female,29
0,569,3,male,
1,570,3,male,32
1,571,2,male,62
1,572,1,female,53
1,573,1,male,36
1,574,3,female,
0,575,3,male,16
0,576,3,male,19
1,577,2,female,34
1,578,1,female,39
0,579,3,female,
1,580,3,male,32
1,581,2,female,25
1,582,1,female,39
0,583,2,male,54
0,584,1,male,36
0,585,3,male,
1,586,1,female,18
0,587,2,male,47
1,588,1,male,60
0,589,3,male,22
0,590,3,male,
0,591,3,male,35
1,592,1,female,52
0,593,3,male,47
0,594,3,female,
0,595,2,male,37
0,596,3,male,36
1,597,2,female,
0,598,3,male,49
0,599,3,male,
1,600,1,male,49
1,601,2,female,24
0,602,3,male,
0,603,1,male,
0,604,3,male,44
1,605,1,male,35
0,606,3,male,36
0,607,3,male,30
1,608,1,male,27
1,609,2,female,22
1,610,1,female,40
0,611,3,female,39
0,612,3,male,
1,613,3,female,
0,614,3,male,
0,615,3,male,35
1,616,2,female,24
0,617,3,male,34
0,618,3,female,26
1,619,2,female,4
0,620,2,male,26
0,621,3,male,27
1,622,1,male,42
1,623,3,male,20
0,624,3,male,21
0,625,3,male,21
0,626,1,male,61
0,627,2,male,57
1,628,1,female,21
0,629,3,male,26
0,630,3,male,
1,631,1,male,80
0,632,3,male,51
1,633,1,male,32
0,634,1,male,
0,635,3,female,9
1,636,2,female,28
0,637,3,male,32
0,638,2,male,31
0,639,3,female,41
0,640,3,male,
0,641,3,male,20
1,642,1,female,24
0,643,3,female,2
1,644,3,male,
1,645,3,female,0.75
1,646,1,male,48
0,647,3,male,19
1,648,1,male,56
0,649,3,male,
1,650,3,female,23
0,651,3,male,
1,652,2,female,18
0,653,3,male,21
1,654,3,female,
0,655,3,female,18
0,656,2,male,24
0,657,3,male,
0,658,3,female,32
0,659,2,male,23
0,660,1,male,58
1,661,1,male,50
0,662,3,male,40
0,663,1,male,47
0,664,3,male,36
1,665,3,male,20
0,666,2,male,32
0,667,2,male,25
0,668,3,male,
0,669,3,male,43
1,670,1,female,
1,671,2,female,40
0,672,1,male,31
0,673,2,male,70
1,674,2,male,31
0,675,2,male,
0,676,3,male,18
0,677,3,male,24.5
1,678,3,female,18
0,679,3,female,43
1,680,1,male,36
0,681,3,female,
1,682,1,male,27
0,683,3,male,20
0,684,3,male,14
0,685,2,male,60
0,686,2,male,25
0,687,3,male,14
0,688,3,male,19
0,689,3,male,18
1,690,1,female,15
1,691,1,male,31
1,692,3,female,4
1,693,3,male,
0,694,3,male,25
0,695,1,male,60
0,696,2,male,52
0,697,3,male,44
1,698,3,female,
0,699,1,male,49
0,700,3,male,42
1,701,1,female,18
1,702,1,male,35
0,703,3,female,18
0,704,3,male,25
0,705,3,male,26
0,706,2,male,39
1,707,2,female,45
1,708,1,male,42
1,709,1,female,22
1,710,3,male,
1,711,1,female,24
0,712,1,male,
1,713,1,male,48
0,714,3,male,29
0,715,2,male,52
0,716,3,male,19
1,717,1,female,38
1,718,2,female,27
0,719,3,male,
0,720,3,male,33
1,721,2,female,6
0,722,3,male,17
0,723,2,male,34
0,724,2,male,50
1,725,1,male,27
0,726,3,male,20
1,727,2,female,30
1,728,3,female,
0,729,2,male,25
0,730,3,female,25
1,731,1,female,29
0,732,3,male,11
0,733,2,male,
0,734,2,male,23
0,735,2,male,23
0,736,3,male,28.5
0,737,3,female,48
1,738,1,male,35
0,739,3,male,
0,740,3,male,
1,741,1,male,
0,742,1,male,36
1,743,1,female,21
0,744,3,male,24
1,745,3,male,31
0,746,1,male,70
0,747,3,male,16
1,748,2,female,30
0,749,1,male,19
0,750,3,male,31
1,751,2,female,4
1,752,3,male,6
0,753,3,male,33
0,754,3,male,23
1,755,2,female,48
1,756,2,male,0.67
0,757,3,male,28
0,758,2,male,18
0,759,3,male,34
1,760,1,female,33
0,761,3,male,
0,762,3,male,41
1,763,3,male,20
1,764,1,female,36
0,765,3,male,16
1,766,1,female,51
0,767,1,male,
0,768,3,female,30.5
0,769,3,male,
0,770,3,male,32
0,771,3,male,24
0,772,3,male,48
0,773,2,female,57
0,774,3,male,
1,775,2,female,54
0,776,3,male,18
0,777,3,male,
1,778,3,female,5
0,779,3,male,
1,780,1,female,43
1,781,3,female,13
1,782,1,female,17
0,783,1,male,29
0,784,3,male,
0,785,3,male,25
0,786,3,male,25
1,787,3,female,18
0,788,3,male,8
1,789,3,male,1
0,790,1,male,46
0,791,3,male,
0,792,2,male,16
0,793,3,female,
0,794,1,male,
0,795,3,male,25
0,796,2,male,39
1,797,1,female,49
1,798,3,female,31
0,799,3,male,30
0,800,3,female,30
0,801,2,male,34
1,802,2,female,31
1,803,1,male,11
1,804,3,male,0.42
1,805,3,male,27
0,806,3,male,31
0,807,1,male,39
0,808,3,female,18
0,809,2,male,39
1,810,1,female,33
0,811,3,male,26
0,812,3,male,39
0,813,2,male,35
0,814,3,female,6
0,815,3,male,30.5
0,816,1,male,
0,817,3,female,23
0,818,2,male,31
0,819,3,male,43
0,820,3,male,10
1,821,1,female,52
1,822,3,male,27
0,823,1,male,38
1,824,3,female,27
0,825,3,male,2
0,826,3,male,
0,827,3,male,
1,828,2,male,1
1,829,3,male,
1,830,1,female,62
1,831,3,female,15
1,832,2,male,0.83
0,833,3,male,
0,834,3,male,23
0,835,3,male,18
1,836,1,female,39
0,837,3,male,21
0,838,3,male,
1,839,3,male,32
1,840,1,male,
0,841,3,male,20
0,842,2,male,16
1,843,1,female,30
0,844,3,male,34.5
0,845,3,male,17
0,846,3,male,42
0,847,3,male,
0,848,3,male,35
0,849,2,male,28
1,850,1,female,
0,851,3,male,4
0,852,3,male,74
0,853,3,female,9
1,854,1,female,16
0,855,2,female,44
1,856,3,female,18
1,857,1,female,45
1,858,1,male,51
1,859,3,female,24
0,860,3,male,
0,861,3,male,41
0,862,2,male,21
1,863,1,female,48
0,864,3,female,
0,865,2,male,24
1,866,2,female,42
1,867,2,female,27
0,868,1,male,31
0,869,3,male,
1,870,3,male,4
0,871,3,male,26
1,872,1,female,47
0,873,1,male,33
0,874,3,male,47
1,875,2,female,28
1,876,3,female,15
0,877,3,male,20
0,878,3,male,19
0,879,3,male,
1,880,1,female,56
1,881,2,female,25
0,882,3,male,33
0,883,3,female,22
0,884,2,male,28
0,885,3,male,25
0,886,3,female,39
0,887,2,male,27
1,888,1,female,19
0,889,3,female,
1,890,1,male,26
0,891,3,male,32
